barcode,building,,coordinate_1_label,coordinate_2_indicator,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,dimensions (width x height x depth,repo_uri,,,,,,,
/locations/2109,82787,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 3]",SML,B57-B,Range,2,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2110,82793,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 4]",SML,B57-B,Range,2,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/216,82799,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 5]",SML,B57-B,Range,2,Section,,Shelf,5,6/1/15 15:46,admin,10/31/18 16:14,amd243,
/locations/2111,82805,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 6]",SML,B57-B,Range,2,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
/locations/3139,82882,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 7]",SML,B57-B,Range,2,Section,,Shelf,7,6/1/15 15:51,admin,10/31/18 16:25,amd243,
/locations/2112,82888,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 1]",SML,B57-B,Range,2,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2113,82894,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 2]",SML,B57-B,Range,2,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/258,82900,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 3]",SML,B57-B,Range,2,Section,,Shelf,3,6/1/15 15:46,admin,10/31/18 16:02,amd243,
/locations/2114,82906,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 4]",SML,B57-B,Range,2,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2115,82912,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 5]",SML,B57-B,Range,2,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2116,82918,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 6]",SML,B57-B,Range,2,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
/locations/3140,82924,/location_profiles/28,/repositories/12,C,"SML, B57-B [Range: 2, Section: c, Shelf: 7]",SML,B57-B,Range,2,Section,,Shelf,7,6/1/15 15:51,admin,10/31/18 16:39,amd243,
/locations/2117,82930,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 1]",SML,B57-B,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/253,82936,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 2]",SML,B57-B,Range,3,Section,,Shelf,2,6/1/15 15:46,admin,10/31/18 15:57,amd243,
/locations/2118,82942,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 3]",SML,B57-B,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2119,82881,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 4]",SML,B57-B,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/499,82887,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 5]",SML,B57-B,Range,3,Section,,Shelf,5,6/1/15 15:47,admin,10/31/18 16:14,amd243,
/locations/2120,82893,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 6]",SML,B57-B,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
/locations/3275,82899,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 3, Section: a, Shelf: 7]",SML,B57-B,Range,3,Section,,Shelf,7,12/17/15 13:11,nlyon,10/31/18 16:25,amd243,
