location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/1756,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/1757,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/1758,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/1759,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 1]",B70,9,NULL,NULL,NULL
/locations/1760,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/1761,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/1762,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 4]",B70,9,NULL,NULL,NULL
/locations/1763,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/1764,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/1765,NULL,"SML, B70 [Range: 9, Section: h, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/1766,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 1]",B70,9,NULL,NULL,NULL
/locations/1767,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/1768,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/1769,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 4]",B70,9,NULL,NULL,NULL
/locations/1770,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/1771,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/1772,NULL,"SML, B70 [Range: 9, Section: i, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/1773,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 1]",B70,9,NULL,NULL,NULL
/locations/1774,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/1775,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/1776,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 4]",B70,9,NULL,NULL,NULL
/locations/1777,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/1778,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/1779,NULL,"SML, B70 [Range: 9, Section: j, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/1780,NULL,"SML, B70 [Range: 9, Section: k, Shelf: 1]",B70,9,NULL,NULL,NULL
